id,title,popularity,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,foreign,history,horror,music,mystery,romance,sciencefiction,thriller,tvmovie,war,western
117164,Guardian Angel,0.595949,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
11448,Mighty Aphrodite,15.899134,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
49133,Lamerica,1.361286,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
26441,The Big Green,5.982764,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
97406,Georgia,4.093443,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
124057,Kids of the Round Table,0.307075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9089,Home for the Holidays,8.416802,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11010,The Postman,10.168437,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
99040,The Confessional,0.120789,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
11359,The Indian in the Cupboard,10.673296,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
17182,Eye for an Eye,4.733526,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2054,Mr. Holland's Opus,7.137117,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,11.700115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19760,Two If by Sea,2.174487,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9536,Bio-Dome,6.387469,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11525,Lawnmower Man 2: Beyond Cyberspace,2.49535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40628,Two Bits,4.046208,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4482,French Twist,2.518051,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10634,Friday,14.56965,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
755,From Dusk Till Dawn,15.339153,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
11859,Fair Game,5.912223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
28387,Kicking and Screaming,3.367276,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
48750,Les Miserables,1.479446,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
20927,Bed of Roses,10.412194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
36929,Big Bully,2.936443,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9102,Screamers,12.758848,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
124626,Nico Icon,0.133893,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27526,The Crossing Guard,5.756462,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
9623,The Juror,6.010579,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
46785,The White Balloon,1.196256,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
400,Things to Do in Denver When You're Dead,4.486179,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
880,Antonia's Line,2.030174,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
146599,Once Upon a Time... When We Were Colored,0.252287,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
188588,Last Summer in the Hamptons,0.531159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8447,Angels and Insects,2.15166,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10534,White Squall,9.568604,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17414,Dunston Checks In,4.814825,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13997,Black Sheep,8.963037,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2086,Nick of Time,6.848591,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
61548,The Journey of August King,0.411424,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9095,Mary Reilly,12.866139,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
12158,Vampire in Brooklyn,9.071127,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
9283,Beautiful Girls,4.670562,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
9208,Broken Arrow,14.957626,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
40154,A Midwinter's Tale,0.513391,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,La Haine,12.108196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45549,Shopping,2.657647,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
63076,Heidi Fleiss: Hollywood Madam,0.638211,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11062,City Hall,4.807223,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
13685,Bottle Rocket,6.904831,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47475,Mr. Wrong,3.329264,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
